Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,500,4124,830,475,28.94
2,500,3786,739,331,34.17
3,500,3857,794,350,30.44
4,500,3698,850,279,35.29
5,500,3814,637,246,30.6
6,500,3844,716,276,26.57
7,500,4020,693,243,23.08
8,500,4083,1271,764,37.78
9,500,3805,420,140,34.03
10,500,3840,1083,231,32.53
11,500,4088,884,212,22.82
12,500,3822,614,184,18.32
13,500,3918,657,362,30.22
14,500,4121,754,246,19.85
15,500,3893,568,173,24.46
16,500,3920,768,252,29.88
17,500,4123,722,235,31.93
18,500,4030,644,290,29.17
19,500,3914,603,169,32.09
20,500,3670,566,211,32.56
21,500,3906,1063,286,30.3
22,500,3898,938,368,37.25
23,187,1559,289,101,25.92
