Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency
1,726,5658,46,31,37.29
2,3500,27941,1002,365,30.21
3,100,757,0,0,15.49
4,3500,27978,808,227,29.77
5,71,532,0,0,53.5
6,90,889,4,6,45.0
7,56,171,12,0,1.6
8,96,856,70,5,25.6
9,94,877,0,0,18.51
10,3500,27983,723,169,30.39
11,3500,28131,843,264,29.24
12,431,3292,49,15,36.0
13,3500,27705,810,309,31.15
14,3500,27647,586,139,28.5
15,3500,28064,694,210,32.89
16,55,484,0,0,44.21
17,261,1969,190,75,27.41
18,75,735,29,0,22.0
19,991,7981,344,124,31.51
20,3500,28200,1114,347,30.0
21,171,1258,47,5,25.91
22,3194,25744,783,309,31.24
23,254,1705,143,57,30.37
24,68,347,0,0,22.18
25,3500,27799,871,289,29.57
26,3500,28465,738,241,30.32
27,58,213,22,0,21.87
28,70,544,0,0,29.06
29,3500,27823,817,258,30.7
30,717,5463,177,93,34.15
31,97,387,14,10,56.15
32,1322,10524,229,26,29.29
33,377,2936,67,13,26.22
34,3500,28466,1190,462,29.89
35,449,3639,136,26,27.08
36,66,688,0,0,54.7
37,671,5380,17,8,34.04
