Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency,Polar Order Parameter (Psi),Radius of Gyration (Rg),Mean Nearest-Neighbor Distance (MNND),Algebraic Connectivity (Lambda2)
1,3500,28290,8238,2739,29.42,0.0581,13.3753,4.6887,3.3649
2,3500,27931,7749,2944,30.91,0.2168,15.1116,4.6591,2.2291
3,3500,28133,9673,3507,31.13,0.0942,12.668,5.3127,1.6669
4,3500,27740,8679,3201,32.23,0.0946,15.0844,5.8161,2.752
5,3500,27970,6254,2394,30.57,0.1876,16.0209,4.5937,1.94
6,3500,27936,7620,2808,29.35,0.073,14.4385,5.4049,2.3973
7,3500,27969,7384,3005,30.29,0.1265,14.1356,5.9142,2.2838
8,3500,27866,9044,3321,30.21,0.0678,13.2082,5.1795,2.5246
9,3500,27987,7387,2992,31.28,0.1661,14.5697,4.503,2.0711
10,3500,28038,8081,3271,29.05,0.1592,13.9422,5.0008,3.0796
11,3500,27904,7745,2625,32.95,0.413,13.3356,4.5062,3.3623
12,3500,27941,7403,2642,30.53,0.2443,13.1294,4.9338,3.382
13,3500,27983,7414,2913,28.37,0.2722,12.8709,4.596,2.6939
14,3500,27734,9153,2980,29.36,0.2002,11.7098,4.5253,5.3705
15,3500,28079,9628,3781,29.01,0.2458,12.3282,4.9003,3.6923
16,3500,27882,7671,2463,30.61,0.1723,14.2737,4.8719,2.4427
17,3500,27998,7811,2769,30.63,0.2448,14.2537,5.9343,3.2118
18,3500,27877,7635,2782,31.45,0.3269,15.6026,5.4918,2.0282
19,3500,27842,7720,2739,30.55,0.1438,13.6483,5.5481,2.5368
20,3500,27762,8215,3021,31.79,0.2109,14.2717,5.5548,2.7763
21,3489,27697,7614,3340,31.96,0.1911,14.2847,5.3089,2.6644
