Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency,Polar Order Parameter (Psi),Radius of Gyration (Rg),Mean Nearest-Neighbor Distance (MNND),Algebraic Connectivity (Lambda2)
1,3500,27948,8793,2908,31.09,0.2619,13.0198,4.6326,3.6317
2,3500,27950,7166,3165,30.13,0.2292,14.4852,5.5705,2.4042
3,3500,27798,7576,2596,31.19,0.1311,16.2246,4.9454,1.8608
4,3500,27928,8139,3078,29.38,0.1699,13.7822,5.0289,2.54
5,3500,27935,8704,3234,30.56,0.4154,13.7573,5.4324,2.5082
6,3500,27969,7579,2627,28.75,0.2753,14.3222,5.2591,2.1943
7,3500,28095,6633,2257,29.27,0.4131,13.9054,5.2168,2.1247
8,3500,28067,6752,2387,29.96,0.1513,14.3839,4.8696,2.8379
9,3500,27914,7470,3103,28.79,0.434,13.8768,4.1449,2.4823
10,3500,27848,7733,2664,30.06,0.2785,15.5335,5.3931,1.713
11,3500,27929,8343,3290,29.28,0.176,14.0568,5.7454,2.2267
12,3500,27873,8227,2887,32.79,0.2177,12.9817,4.5409,3.2267
13,3500,27904,6858,2071,29.37,0.0789,16.262,5.4931,1.9497
14,3500,27744,4950,1673,29.25,0.2974,16.1228,7.232,1.075
15,3500,27947,8284,2579,30.8,0.2267,14.2591,5.1958,2.9398
16,3500,27867,8034,3197,30.49,0.0684,14.4449,5.3655,1.2809
17,3500,27956,8109,2724,30.16,0.2074,14.4505,5.2474,2.2241
18,3500,28066,7305,2726,30.03,0.2834,13.6992,5.0229,2.9759
19,3500,27733,7945,2936,31.53,0.1447,14.8648,6.05,1.7288
20,3500,27941,10203,3114,29.7,0.1572,12.4492,4.5375,3.9294
