Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency,Polar Order Parameter (Psi),Radius of Gyration (Rg),Mean Nearest-Neighbor Distance (MNND),Algebraic Connectivity (Lambda2)
1,3500,27909,7122,2316,30.89,0.2681,14.1379,5.4672,2.6778
2,3500,27943,7648,2720,30.46,0.0603,14.3879,4.7432,2.7977
3,3500,28051,7939,3236,29.63,0.0959,14.8575,6.0159,2.75
4,3500,28138,8873,2996,31.2,0.2359,13.1862,5.1152,3.776
5,3500,28295,8272,3006,30.41,0.2237,13.9139,4.6389,2.9204
6,3500,28100,9427,3178,28.94,0.2629,12.6781,4.6913,3.5121
7,3500,27938,7328,3245,30.94,0.4758,14.3195,4.2782,2.6801
8,3500,27938,8304,2954,30.15,0.1291,13.3971,5.1487,3.3312
9,3500,28017,7601,2578,28.38,0.103,14.5559,4.5318,2.5155
10,3500,27739,8530,3286,29.52,0.1968,13.8971,5.8235,2.1394
11,3500,28261,7309,2760,32.78,0.1497,15.943,5.1712,1.5828
12,3500,27968,6284,2327,30.68,0.1364,17.0808,6.0732,1.4931
13,3500,28075,8552,3381,28.93,0.08,11.8961,4.0374,4.8861
14,3500,28036,7281,3212,29.59,0.1957,14.8707,5.9255,2.1738
15,3500,28191,8787,3293,29.31,0.1097,13.0835,5.0803,3.2862
16,3500,27802,8203,2906,30.47,0.3318,14.4649,5.5488,2.5948
17,3500,27873,6854,2482,29.82,0.3506,14.279,5.1019,2.8891
18,3500,27965,9476,3160,30.03,0.216,13.197,5.3815,3.8645
19,3500,28146,6802,2481,27.62,0.3429,15.4678,5.8772,1.7144
20,3500,27840,8279,3256,29.67,0.1759,12.9579,4.6015,3.4801
