Run,Steps,Proximity Advances,Ideal Range Tracking,Near-Collision Events,Heading Consistency,Polar Order Parameter (Psi),Radius of Gyration (Rg),Mean Nearest-Neighbor Distance (MNND),Algebraic Connectivity (Lambda2)
1,3500,31219,11481,7030,29.06,0.7044,15.6797,5.5697,1.3076
2,3500,30099,11698,6836,29.75,0.6744,15.4575,5.5945,1.3995
3,3500,30559,10922,6855,29.32,0.6762,16.3491,5.702,1.0565
4,3500,30838,12558,7015,28.55,0.6736,14.8169,5.3449,1.5967
5,3500,30709,12861,6803,28.24,0.671,14.6105,5.314,1.5469
6,3500,30381,12912,7131,28.51,0.6722,14.0738,4.9158,1.9449
7,3500,30129,11191,5953,28.96,0.6915,15.8859,5.8776,1.2682
8,3500,30893,12136,7305,30.16,0.6795,15.2927,5.419,0.9333
9,3500,30080,11030,5999,28.65,0.6847,16.1986,5.9308,1.392
10,3500,30759,11953,7455,29.04,0.6651,15.4347,5.7107,1.1356
11,3500,31091,11769,6920,28.97,0.6711,15.0601,5.5198,1.2378
12,3500,30600,12230,7313,31.66,0.6666,14.8902,5.5129,1.3745
13,3500,30172,12130,7198,30.12,0.6701,15.0459,5.4171,1.6394
14,3500,31095,12346,7107,29.77,0.6907,14.9632,5.1238,1.5839
15,3182,27971,10554,6034,26.41,0.6704,16.226,5.797,0.8363
16,3500,30777,13032,6962,30.66,0.6943,14.6887,5.3588,1.6453
17,3500,30846,11711,7889,30.62,0.6873,14.8675,5.4611,1.282
18,3500,30169,11466,6339,29.93,0.66,15.472,5.3809,1.547
19,3500,30658,11961,7732,28.57,0.6762,15.1017,5.2683,1.4873
20,3500,30757,12375,7982,28.96,0.6698,14.4848,5.3854,1.3714
